Obs_ID,Ecoregion,Country,Site,Subsite,Latitude,Longitude,Depth_m,Genus,O_n,Species,Date,month,year,N,Start_time,No_start,Quality_start,End_time,No_end,Quality_end,Gamete_release,Situation,Timezone,DoNFM,DoSRtNFM,Sunrise,Sunset,Reference,Ref_ID,Comments
897,Ningaloo Reef and coastal north-west Australia,Australia,Ningaloo,Coral Bay,-23.15,113.766,3,Acropora,,digitifera,2,4,2016,1,21:00,FALSE,Exact,22:00,FALSE,Exact,Bundles,Ex situ,8,2016/3/23,10,06:33,18:23,Doropoulos unpublished,29,
898,Ningaloo Reef and coastal north-west Australia,Australia,Ningaloo,Coral Bay,-23.15,113.766,3,Acropora,,millepora,2,4,2016,8,21:00,FALSE,Exact,22:00,FALSE,Exact,Bundles,Ex situ,8,2016/3/23,10,06:33,18:23,Doropoulos unpublished,29,
899,Ningaloo Reef and coastal north-west Australia,Australia,Ningaloo,Coral Bay,-23.15,113.766,3,Acropora,,spicifera,2,4,2016,3,21:00,FALSE,Exact,22:00,FALSE,Exact,Bundles,Ex situ,8,2016/3/23,10,06:33,18:23,Doropoulos unpublished,29,
900,Ningaloo Reef and coastal north-west Australia,Australia,Ningaloo,Coral Bay,-23.15,113.766,3,Acropora,,digitifera,3,4,2016,8,21:00,FALSE,Exact,22:00,FALSE,Exact,Bundles,Ex situ,8,2016/3/23,11,06:33,18:22,Doropoulos unpublished,29,
901,Ningaloo Reef and coastal north-west Australia,Australia,Ningaloo,Coral Bay,-23.15,113.766,3,Acropora,,millepora,3,4,2016,2,20:45,FALSE,Exact,21:45,FALSE,Exact,Bundles,Ex situ,8,2016/3/23,11,06:33,18:22,Doropoulos unpublished,29,
1211,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,1,Acropora,,acuminata,17,11,2016,1,20:25,FALSE,Approx,20:25,FALSE,Approx,Bundles,In situ,10,2016/11/14,3,05:28,18:29,Baird unpublished,8,
1212,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,1,Acropora,,arafura,17,11,2016,1,20:59,FALSE,Approx,20:59,FALSE,Approx,Bundles,In situ,10,2016/11/14,3,05:28,18:29,Baird unpublished,8,
1213,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,1,Acropora,,cerealis,17,11,2016,4,20:23,FALSE,Approx,20:23,FALSE,Approx,Bundles,In situ,10,2016/11/14,3,05:28,18:29,Baird unpublished,8,
1214,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,8,Acropora,,kirstyae,17,11,2016,1,19:30,FALSE,Approx,21:00,FALSE,Approx,Bundles,Ex situ,10,2016/11/14,3,05:28,18:29,Baird unpublished,8,
1215,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,1,Acropora,,millepora,17,11,2016,5,21:20,FALSE,Approx,21:20,FALSE,Approx,Bundles,In situ,10,2016/11/14,3,05:28,18:29,Baird unpublished,8,
1216,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,1,Acropora,,muricata,17,11,2016,1,20:42,FALSE,Approx,20:42,FALSE,Approx,Bundles,In situ,10,2016/11/14,3,05:28,18:29,Baird unpublished,8,
1217,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,1,Acropora,,nasuta,17,11,2016,5,21:21,FALSE,Approx,21:21,FALSE,Approx,Bundles,In situ,10,2016/11/14,3,05:28,18:29,Baird unpublished,8,
1218,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,1,Acropora,,selago,17,11,2016,4,20:21,FALSE,Approx,20:21,FALSE,Approx,Bundles,In situ,10,2016/11/14,3,05:28,18:29,Baird unpublished,8,
1219,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,8,Alveopora,,spongiosa,17,11,2016,1,19:00,FALSE,Approx,19:15,FALSE,Approx,Sperm,Ex situ,10,2016/11/14,3,05:28,18:29,Baird unpublished,8,
1220,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,2,Porites,,cylindrica,17,11,2016,2,20:50,FALSE,Approx,20:50,FALSE,Approx,Sperm,In situ,10,2016/11/14,3,05:28,18:29,Baird unpublished,8,
1221,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,1,Acropora,,millepora,18,11,2016,8,20:30,FALSE,Approx,21:00,FALSE,Approx,Bundles,Ex situ,10,2016/11/14,4,05:28,18:30,Baird unpublished,8,
1222,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,6,Moseleya,,latistellata,18,11,2016,1,20:00,FALSE,Approx,21:00,FALSE,Approx,Bundles,Ex situ,10,2016/11/14,4,05:28,18:30,Baird unpublished,8,
1223,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,1,Pavona,,cactus,18,11,2016,3,19:30,FALSE,Approx,19:45,FALSE,Approx,Sperm,Ex situ,10,2016/11/14,4,05:28,18:30,Baird unpublished,8,
1224,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,6,Pectinia,,paeonia,18,11,2016,2,20:00,FALSE,Approx,21:00,FALSE,Approx,Bundles,Ex situ,10,2016/11/14,4,05:28,18:30,Baird unpublished,8,
1225,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,3,Caulastraea,,furcata,19,11,2016,1,19:45,FALSE,Approx,21:00,FALSE,Approx,Bundles,Ex situ,10,2016/11/14,5,05:28,18:30,Baird unpublished,8,
1226,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,2,Dipsastraea,,pallida,19,11,2016,1,21:13,FALSE,Approx,21:13,FALSE,Approx,Bundles,In situ,10,2016/11/14,5,05:28,18:30,Baird unpublished,8,
1227,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,3,Echinophyllia,,orpheensis,19,11,2016,2,19:45,FALSE,Approx,21:00,FALSE,Approx,Bundles,Ex situ,10,2016/11/14,5,05:28,18:30,Baird unpublished,8,
1228,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,4,Echinophyllia,,orpheensis,19,11,2016,8,20:34,FALSE,Approx,20:34,FALSE,Approx,Bundles,In situ,10,2016/11/14,5,05:28,18:30,Baird unpublished,8,
1229,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,2,Heliofungia,,actiniformis,19,11,2016,3,23:15,FALSE,Exact,23:30,FALSE,Approx,Eggs,Ex situ,10,2016/11/14,5,05:28,18:30,Baird unpublished,8,
1230,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,2,Heliofungia,,actiniformis,19,11,2016,3,23:00,FALSE,Exact,23:15,FALSE,Approx,Sperm,Ex situ,10,2016/11/14,5,05:28,18:30,Baird unpublished,8,
1231,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,3,Lobophyllia,,hemprichii,19,11,2016,1,19:45,FALSE,Approx,21:00,FALSE,Approx,Both separately,Ex situ,10,2016/11/14,5,05:28,18:30,Baird unpublished,8,
1232,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,4,Mycedium,,elephantotus,19,11,2016,1,21:30,FALSE,Approx,22:00,FALSE,Approx,Bundles,Ex situ,10,2016/11/14,5,05:28,18:30,Baird unpublished,8,
1233,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,4,Pectinia,,paeonia,19,11,2016,6,20:31,FALSE,Approx,20:31,FALSE,Approx,Bundles,In situ,10,2016/11/14,5,05:28,18:30,Baird unpublished,8,
1234,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,2,Platygyra,,daedalea,19,11,2016,4,21:19,FALSE,Approx,21:19,FALSE,Approx,Bundles,In situ,10,2016/11/14,5,05:28,18:30,Baird unpublished,8,
1235,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,4,Platygyra,,sinensis,19,11,2016,4,20:32,FALSE,Approx,20:32,FALSE,Approx,Bundles,In situ,10,2016/11/14,5,05:28,18:30,Baird unpublished,8,
1236,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,2,Porites,,lutea,19,11,2016,1,21:14,FALSE,Approx,21:14,FALSE,Approx,Sperm,In situ,10,2016/11/14,5,05:28,18:30,Baird unpublished,8,
1237,Central and northern Great Barrier Reef,Australia,Orpheus Island,Little Pioneer Bay,-18.611175,146.486647,6,Lobophyllia,,vitiensis,29,11,2016,2,20:50,FALSE,Approx,20:50,FALSE,Approx,Not recorded,Ex situ,10,2016/12/14,-15,05:28,18:36,Woolsey unpublished,143,
